Data Series,Total,Manufacturing,Construction,Wholesale Trade,Retail Trade,Transportation & Storage,Accommodation,Food & Beverage Services,Information & Communications,Finance & Insurance,Real Estate,Professional Services,Administrative & Support Services,"Education, Health & Social Services","Arts, Entertainment, Recreation & Other Services",Others
2022-12-01,3856,186,153,654,496,215,5,209,403,289,47,604,179,194,203,19
2022-11-01,4496,168,209,818,528,253,10,275,464,293,44,685,223,219,271,36
2022-10-01,4418,184,202,743,553,281,2,284,429,355,51,641,194,224,241,34
2022-09-01,4503,185,232,828,516,280,11,246,455,294,47,678,228,195,275,33
2022-08-01,4258,186,213,764,524,260,4,245,479,240,53,619,195,220,237,19
2022-07-01,4389,190,208,826,469,286,13,213,426,305,46,687,203,214,284,19
2022-06-01,3998,200,165,720,513,295,4,172,426,225,49,565,160,217,264,23
2022-05-01,4242,171,247,769,477,280,8,233,415,282,49,673,203,193,215,27
2022-04-01,4468,221,197,765,547,280,4,245,424,305,47,685,229,233,262,24
2022-03-01,4047,164,184,753,487,261,4,216,382,270,48,650,172,199,230,27
2022-02-01,3830,154,192,685,421,224,7,208,373,275,40,601,201,210,215,24
2022-01-01,3918,150,178,692,424,230,8,216,596,247,38,546,168,176,224,25
2021-12-01,4043,155,187,759,460,238,6,176,388,315,43,611,192,234,249,30
2021-11-01,4060,183,176,825,424,257,11,214,438,300,61,583,180,166,216,26
2021-10-01,4025,165,162,733,486,255,9,225,397,302,46,601,163,209,246,26
2021-09-01,3955,158,167,753,447,248,8,201,402,287,44,570,207,192,247,24
2021-08-01,4267,180,211,758,461,281,6,227,451,322,58,676,197,202,212,25
2021-07-01,4722,178,208,876,525,298,6,227,570,332,57,702,211,229,273,30
2021-06-01,4025,151,180,692,468,273,2,245,397,282,33,602,214,241,221,24
2021-05-01,4718,176,224,858,478,318,8,220,617,353,45,692,210,225,267,27
2021-04-01,3882,162,174,661,390,254,8,173,417,286,59,620,213,217,226,22
2021-03-01,4236,184,189,721,460,242,12,215,527,317,47,636,191,232,236,27
2021-02-01,3447,117,152,628,360,222,9,169,421,285,43,502,176,166,171,26
2021-01-01,3518,167,168,592,355,255,5,163,364,223,54,573,183,188,204,24
2020-12-01,4233,176,205,725,444,249,11,222,437,293,72,648,223,241,257,30
2020-11-01,3625,141,168,608,395,267,5,199,431,254,53,531,170,183,195,25
2020-10-01,2300,97,98,342,295,212,10,103,217,131,21,343,118,140,171,2
2020-09-01,4944,168,176,830,442,345,8,215,654,427,67,833,214,278,255,32
2020-08-01,1331,72,52,178,209,184,2,74,69,33,10,176,79,63,127,3
2020-07-01,3934,112,189,694,394,294,6,188,474,269,56,624,193,195,210,36
2020-06-01,3723,159,171,665,379,270,7,173,461,245,47,606,153,194,171,22
2020-05-01,3579,124,158,586,364,304,4,146,533,240,60,518,151,173,200,18
2020-04-01,3670,149,158,681,344,306,7,158,349,304,61,573,172,212,172,24
2020-03-01,3727,150,194,620,387,304,8,191,371,264,44,573,169,203,234,15
2020-02-01,3594,133,160,660,416,332,5,176,356,222,42,523,170,191,182,26
2020-01-01,3803,148,193,706,422,316,5,189,360,245,51,560,175,179,234,20
